WELL_PERMIT_NUM,PERIOD_ID,REPORTING_PERIOD,PRODUCTION_INDICATOR,WASTE_INDICATOR,WELL_STATUS,FARM_NAME_WELL_NUM,SPUD_DATE,GAS_QUANTITY,GAS_PRODUCTION_DAYS,CONDENSATE_QUANTITY,CONDENSATE_PRODUCTION_DAYS,OIL_QUANTITY,OIL_PRODUCTION_DAYS,AVERAGED,GROUP_NO,OPERATOR,OGO_NUM,WELL_COUNTY,WELL_MUNICIPALITY,WELL_LATITUDE,WELL_LONGITUDE,UNCONVENTIONAL,WELL_CONFIGURATION,WELL_TYPE,PRODUCTION_PERIOD_START_DATE,PRODUCTION_PERIOD_END_DATE,NON_PRODUCTION_COMMENTS,ADDITIONAL_COMMENTS,RECORD_SOURCE,SUBMISSION_FINAL_DATE,REPORT_GENERATED_DATE
005-31098,19APRP,Apr 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,20193,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,4/1/19,4/30/19,,,OGRE,6/10/19,9/29/21
005-31098,19AUGP,Aug 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,19957,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,8/1/19,8/31/19,,,OGRE,12/4/19,9/29/21
005-31098,19DECP,Dec 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,19226,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,12/1/19,12/31/19,,,OGRE,2/3/20,9/29/21
005-31098,19FEBP,Feb 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,20442,28,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,2/1/19,2/28/19,,,OGRE,4/1/19,9/29/21
005-31098,19JANP,Jan 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,22292,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,1/1/19,1/31/19,,,OGRE,3/5/19,9/29/21
005-31098,19JULP,Jul 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,21019,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,7/1/19,7/31/19,,,OGRE,8/21/19,9/29/21
005-31098,19JUNP,Jun 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,20089,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,6/1/19,6/30/19,,,OGRE,7/30/19,9/29/21
005-31098,19MARP,Mar 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,21060,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,3/1/19,3/31/19,,,OGRE,4/25/19,9/29/21
005-31098,19MAYP,May 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,21593,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,5/1/19,5/31/19,,,OGRE,7/11/19,9/29/21
005-31098,19NOVP,Nov 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,19037,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,11/1/19,11/30/19,,,OGRE,1/14/20,9/29/21
