WELL_PERMIT_NUM,PERIOD_ID,REPORTING_PERIOD,PRODUCTION_INDICATOR,WASTE_INDICATOR,WELL_STATUS,FARM_NAME_WELL_NUM,SPUD_DATE,GAS_QUANTITY,GAS_PRODUCTION_DAYS,CONDENSATE_QUANTITY,CONDENSATE_PRODUCTION_DAYS,OIL_QUANTITY,OIL_PRODUCTION_DAYS,AVERAGED,GROUP_NO,OPERATOR,OGO_NUM,WELL_COUNTY,WELL_MUNICIPALITY,WELL_LATITUDE,WELL_LONGITUDE,UNCONVENTIONAL,WELL_CONFIGURATION,WELL_TYPE,PRODUCTION_PERIOD_START_DATE,PRODUCTION_PERIOD_END_DATE,NON_PRODUCTION_COMMENTS,ADDITIONAL_COMMENTS,RECORD_SOURCE,SUBMISSION_FINAL_DATE,REPORT_GENERATED_DATE
027-21517,19APRP,Apr 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,4/1/19,4/30/19,Regulatory Inactive Well,,OGRE,6/14/19,9/29/21
027-21517,19AUGP,Aug 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,8/1/19,8/31/19,Regulatory Inactive Well,,OGRE,10/15/19,9/29/21
027-21517,19DECP,Dec 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,12/1/19,12/31/19,Regulatory Inactive Well,,OGRE,2/13/20,9/29/21
027-21517,19FEBP,Feb 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,2/1/19,2/28/19,Regulatory Inactive Well,,OGRE,4/12/19,9/29/21
027-21517,19JANP,Jan 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,1/1/19,1/31/19,Regulatory Inactive Well,,OGRE,3/15/19,9/29/21
027-21517,19JULP,Jul 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,7/1/19,7/31/19,Regulatory Inactive Well,,OGRE,9/3/19,9/29/21
027-21517,19JUNP,Jun 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,6/1/19,6/30/19,Regulatory Inactive Well,,OGRE,8/14/19,9/29/21
027-21517,19MARP,Mar 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,3/1/19,3/31/19,Regulatory Inactive Well,,OGRE,5/15/19,9/29/21
027-21517,19MAYP,May 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,5/1/19,5/31/19,Regulatory Inactive Well,,OGRE,7/15/19,9/29/21
027-21517,19NOVP,Nov 2019 (PRODUCTION: Unconventional wells),No,No,Regulatory Inactive Status,COP TRACT 259 A-1000H,9/24/09,,,,,,,No,,EQT ARO LLC,OGO-68942,CENTRE,BURNSIDE,41.134336,-77.886635,Yes,Horizontal Well,GAS,11/1/19,11/30/19,Regulatory Inactive Well,,OGRE,1/15/20,9/29/21
